,open,high,low,close,volume,value,middle
2018-05-13 09:00:00,9480000,9851000,9360000,9803000,8513.448999,81838304671,9605500
2018-05-14 09:00:00,9804000,9935000,9400000,9797000,12813.13383,1.24035E+11,9667500
2018-05-15 09:00:00,9802000,9879000,9458000,9500000,8325.827036,80714050266,9668500
2018-05-16 09:00:00,9500000,9542000,9015000,9297000,12218.79341,1.13015E+11,9278500
2018-05-17 09:00:00,9297000,9390000,9020000,9090000,6921.98679,63909130322,9205000
2018-05-18 09:00:00,9072000,9186000,8881000,9165000,5904.080971,53233771175,9033500
2018-05-19 09:00:00,9165000,9299000,9068000,9112000,6285.067502,57548357610,9183500
2018-05-20 09:00:00,9112000,9398000,9051000,9370000,4901.03255,45169962150,9224500
2018-05-21 09:00:00,9370000,9439000,9279000,9345000,4741.950125,44399589675,9359000
2018-05-22 09:00:00,9345000,9356000,8931000,8940000,4999.603247,45871812675,9143500
2018-05-23 09:00:00,8940000,9020000,8433000,8483000,8085.05321,71269244524,8726500
2018-05-24 09:00:00,8483000,8767000,8185000,8415000,8771.342705,73928834982,8476000
2018-05-25 09:00:00,8415000,8480000,8180000,8317000,4317.195404,35876549723,8330000
2018-05-26 09:00:00,8317000,8420000,8122000,8162000,3099.591497,25693093105,8271000
2018-05-27 09:00:00,8162000,8216000,8040000,8182000,2635.099888,21410944207,8128000
2018-05-28 09:00:00,8182000,8261000,7858000,7903000,5922.326581,47889340054,8059500
2018-05-29 09:00:00,7903000,8360000,7813000,8299000,6682.617043,54079954311,8086500
2018-05-30 09:00:00,8300000,8436000,8100000,8207000,6755.110576,56062998960,8268000
2018-05-31 09:00:00,8198000,8375000,8110000,8282000,4978.128803,41199561909,8242500
2018-06-01 09:00:00,8278000,8370000,8139000,8282000,3751.373719,30985647856,8254500
2018-06-02 09:00:00,8282000,8425000,8211000,8339000,3557.441983,29631281616,8318000
2018-06-03 09:00:00,8338000,8443000,8297000,8419000,3755.939378,31491017082,8370000
2018-06-04 09:00:00,8419000,8477000,8206000,8248000,3615.542009,30073576204,8341500
2018-06-05 09:00:00,8241000,8400000,8130000,8360000,3715.397958,30574008153,8265000
2018-06-06 09:00:00,8359000,8400000,8208000,8359000,3334.03058,27751918927,8304000
2018-06-07 09:00:00,8358000,8490000,8330000,8375000,3432.439234,28772117047,8410000
2018-06-08 09:00:00,8375000,8385000,8268000,8341000,2685.939019,22361068529,8326500
2018-06-09 09:00:00,8341000,8370000,8205000,8233000,1658.393838,13807141637,8287500
2018-06-10 09:00:00,8233000,8247000,7425000,7576000,7445.151123,58198185182,7836000
2018-06-11 09:00:00,7576000,7662000,7362000,7635000,4309.230986,32342844909,7512000
2018-06-12 09:00:00,7635000,7685000,7270000,7350000,5044.246481,37952946026,7477500
2018-06-13 09:00:00,7350000,7390000,6951000,7040000,4943.240502,35453527846,7170500
2018-06-14 09:00:00,7039000,7380000,6977000,7355000,6511.947046,46891272332,7178500
2018-06-15 09:00:00,7363000,7399000,7151000,7180000,3302.08916,24092415997,7275000
2018-06-16 09:00:00,7180000,7336000,7116000,7277000,2031.228609,14662383633,7226000
2018-06-17 09:00:00,7275000,7329000,7206000,7218000,1502.422928,10927666174,7267500
2018-06-18 09:00:00,7231000,7550000,7135000,7461000,3050.852968,22285457937,7342500
2018-06-19 09:00:00,7461000,7649000,7370000,7553000,3830.012509,28804682229,7509500
2018-06-20 09:00:00,7553000,7594000,7110000,7538000,5808.173132,42569533207,7352000
2018-06-21 09:00:00,7538000,7580000,7445000,7511000,3078.514334,23106255437,7512500
2018-06-22 09:00:00,7511000,7537000,6870000,6962000,6852.568944,49553362438,7203500
2018-06-23 09:00:00,6965000,7100000,6845000,7030000,3078.689939,21493652923,6972500
2018-06-24 09:00:00,7030000,7144000,6622000,6992000,5399.266499,36910107014,6883000
2018-06-25 09:00:00,6985000,7129000,6861000,7036000,4418.75855,30892837730,6995000
2018-06-26 09:00:00,7034000,7070000,6861000,6900000,3141.538419,21953994619,6965500
2018-06-27 09:00:00,6894000,6970000,6830000,6925000,3051.019478,21055052322,6900000
2018-06-28 09:00:00,6925000,6965000,6649000,6682000,2655.948619,18234794915,6807000
2018-06-29 09:00:00,6671000,7078000,6590000,6958000,3607.758543,24293395793,6834000
2018-06-30 09:00:00,6958000,7290000,6950000,7164000,5213.798289,37267746906,7120000
2018-07-01 09:00:00,7164000,7212000,7002000,7109000,3151.104482,22440527345,7107000
2018-07-02 09:00:00,7109000,7358000,7024000,7297000,5925.853991,42865998436,7191000
2018-07-03 09:00:00,7289000,7399000,7231000,7298000,5239.817536,38445121264,7315000
2018-07-04 09:00:00,7298000,7500000,7104000,7329000,4984.701829,36427212533,7302000
2018-07-05 09:00:00,7329000,7445000,7270000,7377000,4272.33855,31508927550,7357500
2018-07-06 09:00:00,7377000,7488000,7282000,7480000,5355.987665,39581194329,7385000
2018-07-07 09:00:00,7480000,7638000,7361000,7550000,2077.592044,15484116512,7499500
2018-07-08 09:00:00,7564000,7585000,7450000,7516000,2801.161936,21068399562,7517500
2018-07-09 09:00:00,7515000,7623000,7451000,7474000,3713.619758,27893238458,7537000
2018-07-10 09:00:00,7474000,7518000,7127000,7140000,5199.604762,38071008837,7322500
2018-07-11 09:00:00,7141000,7269000,7110000,7226000,3913.795349,28194990186,7189500
2018-07-12 09:00:00,7227000,7230000,6941000,7090000,3724.828525,26333567342,7085500
2018-07-13 09:00:00,7094000,7165000,6973000,7054000,3729.959943,26379295131,7069000
2018-07-14 09:00:00,7054000,7160000,7036000,7109000,1978.798002,14008581892,7098000
2018-07-15 09:00:00,7109000,7226000,7088000,7178000,2385.709298,17095281209,7157000
2018-07-16 09:00:00,7179000,7468000,7140000,7454000,6215.793339,45460277465,7304000
2018-07-17 09:00:00,7454000,8140000,7419000,8080000,8866.816695,68446683084,7779500
2018-07-18 09:00:00,8080000,8450000,8071000,8302000,9226.449696,76253964448,8260500
2018-07-19 09:00:00,8292000,8512000,8157000,8443000,6091.929945,50624771672,8334500
2018-07-20 09:00:00,8443000,8671000,8300000,8351000,7480.689952,63135854964,8485500
2018-07-21 09:00:00,8351000,8387000,8185000,8367000,3409.021116,28298722220,8286000
2018-07-22 09:00:00,8367000,8530000,8270000,8349000,3853.459972,32451010552,8400000
2018-07-23 09:00:00,8347000,8844000,8275000,8752000,9851.829516,85355562871,8559500
2018-07-24 09:00:00,8752000,9525000,8701000,9452000,16483.79996,1.50324E+11,9113000
2018-07-25 09:00:00,9458000,9578000,9054000,9158000,11238.21728,1.04664E+11,9316000
2018-07-26 09:00:00,9158000,9299000,8815000,8950000,7716.056258,70520276839,9057000
2018-07-27 09:00:00,8950000,9259000,8780000,9122000,10051.36343,90182962072,9019500
2018-07-28 09:00:00,9138000,9229000,9064000,9225000,3917.28115,35925663625,9146500
2018-07-29 09:00:00,9229000,9310000,9153000,9238000,4119.531452,38024462761,9231500
2018-07-30 09:00:00,9238000,9280000,8955000,9270000,5498.916,50449604576,9117500
2018-07-31 09:00:00,9270000,9278000,8690000,8800000,8921.986461,80229043589,8984000
